miRNA_ID	TCGA-A7-A0CE-11A-21R-A090-13	TCGA-A7-A0CE-11A-21R-A090-13	TCGA-BH-A0AY-11A-23R-A090-13	TCGA-BH-A0AY-11A-23R-A090-13	TCGA-BH-A0B3-11B-21R-A090-13	TCGA-BH-A0B3-11B-21R-A090-13	TCGA-BH-A0BC-11A-22R-A090-13	TCGA-BH-A0BC-11A-22R-A090-13	TCGA-BH-A0BJ-11A-23R-A090-13	TCGA-BH-A0BJ-11A-23R-A090-13	TCGA-BH-A0BV-11A-31R-A090-13	TCGA-BH-A0BV-11A-31R-A090-13	TCGA-BH-A0C0-11A-21R-A090-13	TCGA-BH-A0C0-11A-21R-A090-13	TCGA-BH-A0DK-11A-13R-A090-13	TCGA-BH-A0DK-11A-13R-A090-13	TCGA-BH-A0DP-11A-12R-A090-13	TCGA-BH-A0DP-11A-12R-A090-13	TCGA-BH-A0DQ-11A-12R-A090-13	TCGA-BH-A0DQ-11A-12R-A090-13	TCGA-BH-A0DZ-11A-22R-A090-13	TCGA-BH-A0DZ-11A-22R-A090-13	TCGA-BH-A0E1-11A-13R-A090-13	TCGA-BH-A0E1-11A-13R-A090-13	TCGA-BH-A0H7-11A-13R-A090-13	TCGA-BH-A0H7-11A-13R-A090-13	TCGA-BH-A0HK-11A-11R-A090-13	TCGA-BH-A0HK-11A-11R-A090-13
hsa-mir-224	35	8.172775	159	61.587827	70	34.736868	26	13.980592	36	14.138228	88	37.290869	43	14.466113	57	28.199422	52	17.922561	18	5.81549	36	12.995799	52	14.573431	51	16.151973	35	15.0772
hsa-mir-2276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.360994	0	0	0	0	0	0
hsa-mir-2277	0	0	0	0	1	0.496241	0	0	3	1.178186	4	1.69504	3	1.009264	0	0	5	1.723323	3	0.969248	1	0.360994	0	0	0	0	0	0
hsa-mir-2278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.344665	0	0	0	0	0	0	0	0	0	0
hsa-mir-2355	117	27.32042	178	68.947379	83	41.188001	343	184.436268	142	55.767454	88	37.290869	134	45.080445	65	32.157236	190	65.486282	131	42.323844	122	44.041318	86	24.102214	168	53.206499	133	57.293358
hsa-mir-2392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-23a	8704	2032.452456	9673	3746.78649	8282	4109.867752	5872	3157.462867	11029	4331.403203	10073	4268.533244	11346	3817.035295	8529	4219.524093	21082	7266.220004	10316	3332.921941	9252	3339.920278	15031	4212.562466	10663	3377.029171	12107	5215.41872
hsa-mir-23b	2878	672.035635	2699	1045.443682	2838	1408.331886	1486	799.044588	2831	1111.814532	3172	1344.166331	3423	1151.569876	2442	1208.122621	9568	3297.751304	3890	1256.792008	2321	837.868025	4704	1318.33503	3192	1010.923484	3095	1333.255219
hsa-mir-23c	1	0.233508	0	0	3	1.488723	0	0	1	0.392729	1	0.42376	0	0	1	0.494727	6	2.067988	3	0.969248	0	0	2	0.560517	0	0	2	0.861554
hsa-mir-24-1	21	4.903665	21	8.134241	25	12.406024	22	11.829731	43	16.887328	20	8.475198	35	11.774743	11	5.441994	63	21.713873	17	5.492407	23	8.302871	61	17.095756	25	7.917634	25	10.769428
hsa-mir-24-2	3207	748.859723	2774	1074.494544	1967	976.105997	5244	2819.777805	2165	850.257316	2517	1066.603611	3652	1228.610338	1574	778.699838	3225	1111.543474	2999	968.925252	2854	1030.278045	3837	1075.351087	3280	1038.793555	2102	905.493528
hsa-mir-2467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-25	32880	7677.738598	24957	9666.964793	18081	8972.533062	14454	7772.133562	24680	9692.540671	22254	9430.35231	21888	7363.587919	18094	8951.585055	40032	13797.61499	23496	7591.15296	26657	9623.027978	29640	8306.855931	31367	9934.096783	18105	7799.219949
hsa-mir-2681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-2682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-26a-1	17	3.969634	11	4.260793	25	12.406024	1	0.537715	38	14.923685	18	7.627678	37	12.447586	16	7.915627	46	15.854574	20	6.461656	32	11.551821	72	20.178597	39	12.351509	22	9.477097
hsa-mir-26a-2	7219	1685.693277	4981	1929.364572	4996	2479.219909	7512	4039.315575	4424	1737.431115	3735	1582.743142	12365	4159.84853	2984	1476.264497	14856	5120.337937	6701	2164.977698	5733	2069.58095	14553	4078.599	7701	2438.947917	4310	1856.649433
hsa-mir-26b	1422	332.048184	1268	491.153238	1107	549.338759	1117	600.627729	1084	425.717751	1007	426.726196	3362	1131.048181	632	312.667279	5045	1738.833124	1745	563.779448	1347	486.25947	3525	987.910498	1706	540.299331	823	354.529578
hsa-mir-27a	2200	513.717303	1621	627.885961	1118	554.79741	1920	1032.412926	2641	1037.196107	1668	706.831475	2935	987.396315	1606	794.531093	4137	1425.877628	1878	606.749458	1866	673.615568	2294	642.912534	1935	612.824857	1950	840.015405
hsa-mir-27b	2144	500.640862	1220	472.560686	1245	617.820013	1508	810.874319	1279	502.299818	1199	508.088093	2428	816.830751	895	442.780404	3763	1296.973052	1703	550.209971	1398	504.670185	1857	520.439658	1551	491.210001	1228	528.994316
hsa-mir-28	26612	6214.111301	18576	7195.317466	14406	7148.84748	8550	4597.463813	15556	6109.28536	16236	6880.165368	18748	6307.225252	15740	7786.998384	25217	8691.408303	22388	7233.177241	20449	7381.974683	23573	6606.528841	21384	6772.427252	17526	7549.79999
hsa-mir-2861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-2909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-296	6	1.401047	15	5.810172	12	5.954892	8	4.301721	20	7.854571	19	8.051438	32	10.765479	3	1.48418	22	7.582622	16	5.169324	22	7.941877	51	14.293173	18	5.700696	5	2.153886
hsa-mir-297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-299	28	6.53822	19	7.359552	12	5.954892	12	6.452581	48	18.850971	43	18.221675	21	7.064846	16	7.915627	26	8.961281	35	11.307897	45	16.244748	39	10.930074	19	6.017402	9	3.876994
hsa-mir-29a	34246	7996.710341	18530	7177.499604	10419	5170.334715	26327	14156.424539	14084	5531.188931	7808	3308.717122	36036	12123.275505	8547	4228.429173	31231	10764.221466	13688	4422.35707	16604	5993.951178	22398	6277.225342	28333	8973.212745	12851	5535.916905
hsa-mir-29b-1	418	97.606288	350	135.570689	278	137.954991	352	189.275703	343	134.705893	229	97.041012	840	282.593835	237	117.25023	804	277.110373	326	105.324986	327	118.045172	707	198.142616	400	126.682141	258	111.1405
hsa-mir-29b-2	474	110.682728	493	190.960999	298	147.87981	370	198.954574	371	145.702293	268	113.567647	910	306.143321	271	134.070938	874	301.236898	387	125.033035	339	122.377105	793	222.24483	528	167.220426	321	138.279459
hsa-mir-29c	7703	1798.711083	4746	1838.338539	3341	1657.941096	5182	2786.439471	3439	1350.593491	2328	986.512994	11015	3705.679867	3000	1484.180124	9241	3185.045966	4382	1415.748735	3817	1377.915662	6366	1784.12432	6196	1962.306362	3643	1569.321087
hsa-mir-300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-301a	14	3.26911	1	0.387345	6	2.977446	0	0	11	4.320014	10	4.237599	18	6.055582	11	5.441994	12	4.135976	12	3.876993	8	2.887955	14	3.923616	5	1.583527	7	3.01544
hsa-mir-301b	0	0	0	0	0	0	0	0	0	0	0	0	1	0.336421	0	0	0	0	1	0.323083	1	0.360994	0	0	0	0	0	0
hsa-mir-302a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-302b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-302c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-302d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-302e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-302f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.646166	0	0	3	0.840775	1	0.316705	0	0
hsa-mir-3065	59	13.776964	16	6.197517	12	5.954892	21	11.292016	23	9.032757	75	31.781991	71	23.885907	98	48.483217	106	36.534452	98	31.662112	66	23.825631	42	11.770848	57	18.052205	50	21.538857
hsa-mir-3074	14	3.26911	9	3.486103	8	3.969928	3	1.613145	23	9.032757	12	5.085119	15	5.046318	20	9.894534	21	7.237958	17	5.492407	16	5.775911	24	6.726199	22	6.967518	8	3.446217
hsa-mir-30a	361986	84526.577982	185636	71905.143901	203042	100757.759968	220558	118597.359496	245716	96499.688959	227219	96286.295563	305799	102877.276226	243474	120453.090508	447556	154256.728974	360164	116362.785775	298947	107918.195779	426105	119419.461753	301239	95404.003599	204827	88234.787321
hsa-mir-30b	1395	325.743472	931	360.618032	1046	519.068059	1418	762.479963	948	372.306668	860	364.433494	3511	1181.174944	667	329.982714	4121	1420.362994	1389	448.761979	1308	472.180688	2039	571.446668	2970	940.614896	883	380.376206
hsa-mir-30c-1	1	0.233508	1	0.387345	2	0.992482	3	1.613145	6	2.356371	9	3.813839	8	2.69137	4	1.978907	8	2.757317	5	1.615414	7	2.526961	8	2.242066	9	2.850348	2	0.861554
hsa-mir-30c-2	2925	683.010505	2329	902.126097	2425	1203.384363	1197	643.644934	3253	1277.545981	3504	1484.85461	4836	1626.933076	2134	1055.746795	4894	1686.788763	3817	1233.206965	2975	1073.958369	8255	2313.532244	4222	1337.129997	1873	806.845566
hsa-mir-30d	31298	7308.329155	20482	7933.596702	19357	9605.736546	12235	6578.943831	28382	11146.421772	24455	10363.0478	28098	9452.763768	26613	13166.161881	32361	11153.692513	29768	9617.528145	29107	10507.464281	32594	9134.738941	47729	15116.029756	31777	13688.804878
hsa-mir-30e	52047	12153.383844	32055	12416.33836	30900	15333.846116	40425	21737.131537	45759	17970.865825	34725	14715.06174	63460	21349.291362	33570	16607.975588	71910	24784.83448	52522	16968.953683	41553	15000.400704	73249	20528.640016	48126	15241.761781	34267	14761.439933
hsa-mir-31	11	2.568587	5	1.936724	9	4.466169	5	2.688575	24	9.425485	6	2.542559	29	9.756216	16	7.915627	55	18.956555	25	8.077069	44	15.883754	39	10.930074	11	3.483759	9	3.876994
hsa-mir-3115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3116-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3116-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3117	0	0	2	0.77469	1	0.496241	1	0.537715	0	0	0	0	1	0.336421	0	0	4	1.378659	1	0.323083	0	0	0	0	0	0	0	0
hsa-mir-3118-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3118-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3118-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3118-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3118-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3118-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3119-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3119-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.430777
hsa-mir-3126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.344665	0	0	0	0	0	0	2	0.633411	0	0
hsa-mir-3127	9	2.101571	3	1.162034	8	3.969928	11	5.914866	17	6.676385	12	5.085119	19	6.392003	19	9.399807	26	8.961281	17	5.492407	22	7.941877	24	6.726199	27	8.551045	13	5.600103
hsa-mir-3128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.280258	0	0	0	0
hsa-mir-3129	1	0.233508	2	0.77469	5	2.481205	1	0.537715	2	0.785457	6	2.542559	1	0.336421	0	0	0	0	4	1.292331	1	0.360994	0	0	1	0.316705	3	1.292331
hsa-mir-3130-1	15	3.502618	12	4.648138	15	7.443615	1	0.537715	16	6.283657	14	5.932638	15	5.046318	13	6.431447	21	7.237958	21	6.784738	11	3.970939	13	3.643358	18	5.700696	12	5.169326
hsa-mir-3130-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3132	0	0	1	0.387345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3135a	0	0	0	0	1	0.496241	0	0	0	0	1	0.42376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3135b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3136	0	0	0	0	0	0	0	0	0	0	0	0	3	1.009264	0	0	2	0.689329	0	0	1	0.360994	1	0.280258	0	0	0	0
hsa-mir-3137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3138	0	0	0	0	0	0	0	0	0	0	0	0	1	0.336421	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.494727	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3143	0	0	0	0	0	0	0	0	2	0.785457	0	0	0	0	0	0	1	0.344665	0	0	0	0	0	0	0	0	0	0
hsa-mir-3144	0	0	1	0.387345	0	0	0	0	0	0	0	0	0	0	0	0	1	0.344665	1	0.323083	0	0	0	0	0	0	0	0
hsa-mir-3145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3146	1	0.233508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3150a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.344665	0	0	0	0	1	0.280258	3	0.950116	0	0
hsa-mir-3150b	4	0.934031	1	0.387345	1	0.496241	0	0	0	0	2	0.84752	3	1.009264	1	0.494727	1	0.344665	7	2.261579	5	1.804972	4	1.121033	0	0	1	0.430777
hsa-mir-3151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.494727	0	0	0	0	0	0	0	0	0	0	1	0.430777
hsa-mir-3153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3154	0	0	0	0	1	0.496241	0	0	0	0	0	0	1	0.336421	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3155a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.323083	0	0	0	0	0	0	0	0
hsa-mir-3155b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3156-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.494727	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3156-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.494727	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3156-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3157	0	0	1	0.387345	0	0	0	0	0	0	1	0.42376	2	0.672842	0	0	1	0.344665	0	0	0	0	2	0.560517	2	0.633411	0	0
hsa-mir-3158-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.344665	1	0.323083	0	0	0	0	0	0	0	0
hsa-mir-3158-2	0	0	1	0.387345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.840775	2	0.633411	0	0
hsa-mir-3159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3160-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3160-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.280258	0	0	0	0
hsa-mir-3162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3163	1	0.233508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.280258	0	0	0	0
hsa-mir-3164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.494727	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3170	1	0.233508	2	0.77469	3	1.488723	0	0	4	1.570914	3	1.27128	4	1.345685	4	1.978907	2	0.689329	2	0.646166	0	0	7	1.961808	1	0.316705	1	0.430777
hsa-mir-3171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3173	1	0.233508	2	0.77469	0	0	0	0	0	0	1	0.42376	0	0	0	0	1	0.344665	0	0	1	0.360994	1	0.280258	1	0.316705	0	0
hsa-mir-3174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.344665	0	0	0	0	0	0	0	0	0	0
hsa-mir-3175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3177	0	0	0	0	1	0.496241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3178	0	0	0	0	0	0	0	0	0	0	1	0.42376	0	0	0	0	0	0	0	0	1	0.360994	0	0	1	0.316705	0	0
hsa-mir-3179-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3179-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3179-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3180-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3180-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3180-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3180-4	0	0	0	0	0	0	0	0	1	0.392729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3180-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3187	0	0	2	0.77469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.323083	0	0	1	0.280258	0	0	0	0
hsa-mir-3189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.360994	0	0	0	0	0	0
hsa-mir-3190	0	0	0	0	0	0	0	0	1	0.392729	0	0	0	0	0	0	0	0	0	0	0	0	1	0.280258	0	0	0	0
hsa-mir-3191	0	0	1	0.387345	1	0.496241	0	0	0	0	0	0	1	0.336421	0	0	0	0	0	0	1	0.360994	0	0	0	0	2	0.861554
hsa-mir-3192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.360994	0	0	2	0.633411	0	0
hsa-mir-3193	2	0.467016	3	1.162034	0	0	0	0	1	0.392729	2	0.84752	0	0	1	0.494727	0	0	0	0	1	0.360994	0	0	0	0	0	0
hsa-mir-3194	1	0.233508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.689329	0	0	0	0	1	0.280258	0	0	0	0
hsa-mir-3195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.494727	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3198-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3198-2	0	0	0	0	0	0	0	0	1	0.392729	0	0	0	0	0	0	0	0	0	0	1	0.360994	0	0	0	0	0	0
hsa-mir-3199-1	1	0.233508	0	0	4	1.984964	1	0.537715	2	0.785457	3	1.27128	6	2.018527	3	1.48418	7	2.412653	5	1.615414	2	0.721989	1	0.280258	4	1.266821	2	0.861554
hsa-mir-3199-2	12	2.802094	6	2.324069	1	0.496241	0	0	1	0.392729	5	2.118799	7	2.354949	5	2.473634	5	1.723323	7	2.261579	4	1.443978	9	2.522325	7	2.216937	5	2.153886
hsa-mir-32	36	8.406283	11	4.260793	12	5.954892	32	17.206882	22	8.640028	31	13.136556	46	15.475377	23	11.378714	68	23.437196	32	10.338649	36	12.995799	50	14.012915	11	3.483759	17	7.323211
hsa-mir-3200	3	0.700524	1	0.387345	1	0.496241	0	0	3	1.178186	2	0.84752	2	0.672842	1	0.494727	3	1.033994	2	0.646166	1	0.360994	2	0.560517	3	0.950116	1	0.430777
hsa-mir-3201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3202-1	0	0	1	0.387345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3202-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-320a	2367	552.713116	1922	744.476753	1047	519.5643	591	317.789604	1308	513.688946	1798	761.920259	1749	588.400734	804	397.760273	2768	954.031732	2358	761.829191	1849	667.478663	2065	578.733384	2225	704.669409	1091	469.977849
hsa-mir-320b-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
